,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'yearly_income_$10K - $30K'}),frozenset({'education_Partial High School'}),0.2158702558466342,0.3043749282328046,0.20072942810430713,0.9298614453253629,3.054986988330878,0.13502393447339067,9.917870064390433,0.8578508450040062
1,frozenset({'education_Partial High School'}),frozenset({'yearly_income_$10K - $30K'}),0.3043749282328046,0.2158702558466342,0.20072942810430713,0.6594808227791251,3.054986988330878,0.13502393447339067,2.3027476765126407,0.9669955712002585
2,frozenset({'yearly_income_$10K - $30K'}),frozenset({'low_fat_N'}),0.2158702558466342,0.6473100288162377,0.13914907345133226,0.6445958610907064,0.9958070049826129,-0.0005859080813211126,0.9923631510486602,-0.005341157554267926
3,frozenset({'yearly_income_$110K - $130K'}),frozenset({'homeowner_Y'}),0.044837409710033194,0.6045340463575073,0.03740642924711428,0.8342682926829268,1.3800187064891296,0.010300688526918525,2.3861816187405736,0.2882987088061653
4,frozenset({'yearly_income_$110K - $130K'}),frozenset({'low_fat_N'}),0.044837409710033194,0.6473100288162377,0.02910057249717032,0.6490243902439023,1.0026484394669426,7.686752572327871e-05,1.0048845600093295,0.0027654388790802637
5,frozenset({'yearly_income_$130K - $150K'}),frozenset({'homeowner_Y'}),0.05433528540104876,0.6045340463575073,0.041529283749719766,0.7643151856697192,1.26430461654714,0.008681753806233768,1.6779441423336678,0.2210628885922807
6,frozenset({'yearly_income_$130K - $150K'}),frozenset({'low_fat_N'}),0.05433528540104876,0.6473100288162377,0.03517549471520043,0.6473784844520478,1.0001057540170284,3.7195565090603067e-06,1.0001941334626272,0.00011181852581229231
7,frozenset({'yearly_income_$150K +'}),frozenset({'homeowner_Y'}),0.019280086175314272,0.6045340463575073,0.015775113050420213,0.8182076006806579,1.3534516469512274,0.00411964454073604,2.1753712208165816,0.2662822824561557
8,frozenset({'yearly_income_$150K +'}),frozenset({'low_fat_N'}),0.019280086175314272,0.6473100288162377,0.012428711252549443,0.6446398184912081,0.9958749127834267,-5.1481885172783085e-05,0.9924859045442505,-0.004205841707984513
9,frozenset({'education_High School Degree'}),frozenset({'yearly_income_$30K - $50K'}),0.29537463843003453,0.3291722029931705,0.20718164072111678,0.7014198707862048,2.1308599705812874,0.10995252028079111,2.246726192976125,0.7531745728047213
10,frozenset({'yearly_income_$30K - $50K'}),frozenset({'education_High School Degree'}),0.3291722029931705,0.29537463843003453,0.20718164072111678,0.6294019933554816,2.130859970581287,0.10995252028079111,1.9013198909238866,0.7911209226209632
11,frozenset({'education_Partial College'}),frozenset({'yearly_income_$30K - $50K'}),0.09334383184877763,0.3291722029931705,0.06681867642153727,0.7158338703063676,2.1746485997215848,0.03609248165605106,2.3606887904975444,0.5957667416054535
12,frozenset({'yearly_income_$30K - $50K'}),frozenset({'low_fat_N'}),0.3291722029931705,0.6473100288162377,0.21305424779777235,0.6472425249169435,0.9998957162776889,-2.222040724128571e-05,0.9998086393512191,-0.00015544732446816486
13,frozenset({'yearly_income_$50K - $70K'}),frozenset({'education_Bachelors Degree'}),0.16938698512163514,0.25556776737039527,0.13187666431543665,0.7785525211440378,3.0463642937244075,0.08858681070629801,3.3616649711953217,0.8087278166505877
14,frozenset({'yearly_income_$50K - $70K'}),frozenset({'low_fat_N'}),0.16938698512163514,0.6473100288162377,0.11004850095416195,0.6496868745561366,1.0036718815313979,0.00040260673398069546,1.0067849177414845,0.0044045157945941755
15,frozenset({'yearly_income_$70K - $90K'}),frozenset({'low_fat_N'}),0.12300760595572033,0.6473100288162377,0.07972856963195048,0.6481596728307254,1.001312576627372,0.00010451267613674486,1.0024148568224782,0.0014947176706314618
16,frozenset({'yearly_income_$90K - $110K'}),frozenset({'homeowner_Y'}),0.044110168796443625,0.6045340463575073,0.03500051945779542,0.7934796082806496,1.3125474289853383,0.008334420629768698,1.9149002689279644,0.24911110234612052
17,frozenset({'yearly_income_$90K - $110K'}),frozenset({'low_fat_N'}),0.044110168796443625,0.6473100288162377,0.028624858516100457,0.6489401264410561,1.0025182641273138,7.190388138542808e-05,1.0046433607130687,0.0026278534627584816
18,frozenset({'gender_F'}),frozenset({'low_fat_N'}),0.5104356337111705,0.6473100288162377,0.3307688522169912,0.6480128548473487,1.0010857641621842,0.0003587474505789001,1.0019967377808818,0.0022154115610816074
19,frozenset({'gender_M'}),frozenset({'homeowner_Y'}),0.4895643662888295,0.6045340463575073,0.2987483801118748,0.6102330984106419,1.0094271812935485,0.0027900528068399155,1.0146216931963579,0.018296409802256434
20,frozenset({'gender_M'}),frozenset({'low_fat_N'}),0.4895643662888295,0.6473100288162377,0.3165411765992465,0.6465772396769905,0.9988679471866252,-0.0003587474505788446,0.9979265932432382,-0.002215411561081265
21,frozenset({'education_Bachelors Degree'}),frozenset({'low_fat_N'}),0.25556776737039527,0.6473100288162377,0.16560861315704575,0.6480027386122937,1.0010701360479812,0.00017703429601367837,1.0019679408678497,0.0014359830675849258
22,frozenset({'education_Graduate Degree'}),frozenset({'homeowner_Y'}),0.051338834117988,0.6045340463575073,0.03576603620894233,0.6966663116412823,1.1524021117402712,0.004729963084318195,1.3037323872013216,0.13940418654464184
23,frozenset({'education_Graduate Degree'}),frozenset({'low_fat_N'}),0.051338834117988,0.6473100288162377,0.033436678094738166,0.6512940675258281,1.006154761292477,0.00020453590243130898,1.0114252105816568,0.006448152563585758
